WELL,DEPTH,GR,PEF,PHIA,PHIE,PHIN,RHOB,RT,SwIrr,SwMS,VSH,Core_Kmax
PozoS1,10066.8,60.4458,2.1984,0.123,0.0756,0.2786,2.516,40.5701,0.6308,0.6308,0.617,0.059
PozoS1,10068.3,87.6732,2.2292,0.1265,0.0588,0.3034,2.5438,47.4945,0.8613,0.8613,0.7878,0.002
PozoS1,10075.3,97.5886,2.2938,0.1669,0.0464,0.3612,2.5076,41.167,1,1,0.928,0.063
PozoS1,10078.3,76.9932,2.3082,0.1375,0.0626,0.3123,2.5233,46.6735,0.7981,0.7981,0.7713,0.027
PozoS1,10079.8,70.5603,2.1763,0.1419,0.0989,0.2793,2.4575,50.8823,0.441,0.441,0.4705,11.562
PozoS1,10081.8,68.0469,2.2128,0.1241,0.0881,0.2651,2.4911,47.7246,0.5163,0.5163,0.4992,1.138
PozoS1,10082.8,86.1349,2.2449,0.1331,0.0837,0.2832,2.4914,65.2366,0.5527,0.5527,0.5728,0.003
PozoS1,10085.8,77.5448,2.3089,0.1409,0.0667,0.312,2.5121,76.2576,0.7378,0.7378,0.7415,0.005
PozoS1,10087.8,28.0714,1.8734,0.2422,0.2112,0.3375,2.233,116.2322,0.1136,0.2816,0.1317,608.351
PozoS1,10089.3,50.5714,2.1039,0.2478,0.1827,0.3628,2.2551,152.4329,0.1586,0.1863,0.2899,404.224
PozoS1,10091.3,40.3875,1.9672,0.2223,0.1555,0.3454,2.3082,158.0239,0.2168,0.2168,0.3555,120.219
PozoS1,10092.3,33.0923,1.9749,0.2109,0.1912,0.3045,2.2794,145.4527,0.1438,0.2723,0.1173,280.236
PozoS1,10093.3,32.6338,1.9796,0.2178,0.1999,0.3088,2.2646,172.899,0.1299,0.2483,0.0969,532.725
PozoS1,10093.8,33.2711,1.9434,0.2184,0.1807,0.3228,2.2849,221.435,0.1622,0.1716,0.205,24.813
PozoS1,10094.8,37.0131,2.368,0.2175,0.1862,0.3179,2.2797,152.0434,0.1524,0.2377,0.172,975.121
PozoS1,10098.3,38.6631,2.0044,0.2097,0.1807,0.3101,2.2921,135.9236,0.1622,0.2613,0.1723,326.07
PozoS1,10101.8,29.8522,1.9411,0.2209,0.2186,0.3008,2.2423,267.5321,0.1039,0.2277,0.0078,529.356
PozoS1,10103.8,24.0882,1.9535,0.2308,0.2127,0.3199,2.241,521.1394,0.1116,0.1239,0.0813,936.238
PozoS1,10105.3,39.1773,2.0549,0.2501,0.222,0.3425,2.2157,182.8147,0.0996,0.2158,0.1077,358.164
PozoS1,10107.3,26.3772,1.8953,0.2424,0.2307,0.3259,2.2138,237.5308,0.0893,0.2139,0.036,687.081
PozoS1,10111.3,26.017,1.9202,0.2305,0.2216,0.3136,2.2322,299.5897,0.1001,0.196,0.0335,1254.423
PozoS1,10114.8,25.2331,1.9051,0.2005,0.1857,0.2925,2.2933,321.1853,0.1532,0.1727,0.1045,595.562
PozoS1,10115.8,22.7589,2.0219,0.1917,0.1958,0.2647,2.2774,626.7565,0.1364,0.1663,0,594.658
PozoS1,10116.3,24.2826,2.0274,0.1922,0.1962,0.268,2.2809,660.9713,0.1356,0.1614,0,780.44
PozoS1,10117.3,23.0716,1.9541,0.1927,0.1966,0.2617,2.2694,664.4341,0.135,0.1607,0,743.033
PozoS1,10119.3,27.9031,1.9313,0.2004,0.203,0.2663,2.2524,347.3087,0.1252,0.2182,0,2262.5659
PozoS1,10120.3,33.1557,1.8694,0.2078,0.2092,0.2742,2.2416,247.805,0.1165,0.2527,0,11989.001
PozoS1,10122.3,55.2811,2.0373,0.1961,0.1716,0.2964,2.3133,79.3934,0.1802,0.3864,0.1713,2.47
PozoS1,10126.3,31.9605,1.9732,0.2133,0.1432,0.3417,2.3306,186.8993,0.2504,0.2504,0.3977,895.087
PozoS1,10128.3,21.208,1.8338,0.2424,0.238,0.3017,2.1757,370.4964,0.0812,0.1816,0,3783.9939
PozoS1,10130.8,24.0217,1.9374,0.2321,0.2294,0.3043,2.2123,598.0898,0.0908,0.1467,0,3752.1221
PozoS1,10131.8,25.2842,2.0644,0.2237,0.2224,0.2894,2.2153,686.6217,0.0991,0.1406,0,5717.1221
PozoS1,10134.3,34.7452,1.9967,0.2392,0.2353,0.3038,2.1892,230.5461,0.0841,0.2348,0,12048.4063
PozoS1,10135.3,48.5735,1.9804,0.209,0.1887,0.3034,2.2837,273.7438,0.1481,0.1793,0.1239,3775.563
PozoS1,10136.8,47.057,2.0135,0.227,0.2252,0.3029,2.2262,253.1898,0.0958,0.2331,0,1486.962
PozoS1,10138.3,30.0704,2.006,0.2355,0.2322,0.3143,2.2174,240.3677,0.0876,0.2326,0,267.693
PozoS1,10139.8,33.6216,1.9133,0.2308,0.2283,0.3062,2.2196,329.2104,0.0921,0.2008,0,654.16
PozoS1,10141.3,30.1854,2.0511,0.2038,0.1848,0.2983,2.292,630.3494,0.1548,0.1548,0.1246,9194.4932
PozoS1,10142.3,84.9346,2.0265,0.2061,0.2077,0.2784,2.2536,567.9823,0.1184,0.1655,0,8988.6553
Pozo24,10504.4,70.6054,2.168,0.146,0.0627,0.2319,2.5831,50.1531,0.7959,0.7959,0.7835,0.002
Pozo24,10507.4,51.235,2.2839,0.1743,0.1483,0.1912,2.4187,36.2661,0.236,0.6426,0.2282,0.524
Pozo24,10509.9,36.8676,2.1313,0.1392,0.113,0.1698,2.5012,58.9534,0.3642,0.4443,0.3385,1.616
Pozo24,10510.9,48.841,1.9975,0.1593,0.1276,0.1865,2.4615,34.9744,0.3023,0.637,0.3112,1.538
Pozo24,10512.4,46.1952,2.0389,0.1714,0.1399,0.194,2.4331,37.4235,0.2604,0.609,0.2738,0.058
Pozo24,10514.9,49.1979,2.5109,0.1751,0.14,0.1995,2.43,42.2786,0.2602,0.5472,0.2885,3.499
Pozo24,10518.9,50.7908,1.7927,0.178,0.1266,0.215,2.4466,54.0236,0.3062,0.4093,0.3904,0.044
Pozo24,10520.4,36.1056,2.074,0.1779,0.156,0.1903,2.4049,45.8102,0.2156,0.5666,0.1917,55.136
Pozo24,10521.4,40.9536,2.1885,0.143,0.114,0.1747,2.4966,58.0448,0.3592,0.4403,0.3473,7.521
Pozo24,10521.9,45.2237,2.2937,0.1375,0.1021,0.179,2.5224,63.6161,0.4219,0.4219,0.426,1.209
Pozo24,10522.4,47.9261,2.0614,0.1393,0.107,0.1764,2.5119,54.8918,0.3942,0.4377,0.3906,0.788
Pozo24,10531.9,49.9773,1.9021,0.1811,0.1532,0.1976,2.4064,39.8071,0.2228,0.5946,0.2247,5.029
Pozo24,10533.4,55.6363,2.3278,0.1716,0.1042,0.2253,2.4856,37.1415,0.4095,0.4831,0.5247,0.808
Pozo24,10535.4,92.0638,1.8075,0.1611,0.0767,0.2366,2.54,37.6812,0.6195,0.6195,0.6997,0
Pozo24,10535.9,82.2649,2.1288,0.176,0.0954,0.2387,2.4934,41.4502,0.4638,0.4638,0.5972,0
Pozo24,10540.4,98.747,2.2193,0.168,0.1009,0.2235,2.4945,36.5567,0.4288,0.4857,0.5387,0.004
Pozo24,10540.9,80.6278,2.3277,0.168,0.102,0.2224,2.4928,49.574,0.422,0.422,0.5302,0.089
Pozo24,10550.4,75.8437,2.2253,0.174,0.106,0.2271,2.4803,38.9159,0.3998,0.466,0.5194,0.185
Pozo24,10553.9,69.7203,2.257,0.1499,0.0799,0.2193,2.5487,41.6749,0.5868,0.5868,0.6508,0.063
Pozo24,10555.9,76.7234,1.8404,0.2054,0.1794,0.2142,2.3524,42.5447,0.1648,0.5589,0.1629,2.179
Pozo24,10558.4,35.1189,2.722,0.2285,0.1341,0.2774,2.3812,86.8281,0.2793,0.2793,0.4858,239.255
Pozo24,10559.9,48.5062,2.1254,0.2156,0.1614,0.2418,2.3645,77.2352,0.2025,0.3208,0.3028,4.765
Pozo24,10560.9,32.0006,2.1285,0.2378,0.2054,0.2444,2.2939,141.2244,0.1217,0.2474,0.1451,861.816
Pozo24,10561.9,30.6189,1.5974,0.2583,0.2438,0.2511,2.236,80.1012,0.0751,0.3703,0.0342,122.514
Pozo24,10562.4,27.5632,1.8605,0.2551,0.2405,0.2483,2.2422,81.6924,0.0786,0.3687,0.0377,915.409
