WELL,DEPTH,GR_norm,PEF,PHIA,PHIE,PHIN_norm,RHOB_norm,RoMS,RT,SwIrr,SwMS,VCL,VSH,Core_Kmax,anomaly_scores,anomaly
PozoS1,10066.8,60.8022,2.1984,0.123,0.0756,0.1996,2.5736,14.7961,40.5701,0.6308,0.6308,0.5342,0.617,0.059,0.0023404652374241497,1
PozoS1,10079.8,72.66,2.1763,0.1419,0.0989,0.2003,2.5124,16.3031,50.8823,0.441,0.441,0.6788,0.4705,11.562,0.05176327905961697,1
PozoS1,10081.8,69.7134,2.2128,0.1241,0.0881,0.1861,2.5475,16.8298,47.7246,0.5163,0.5163,0.6428,0.4992,1.138,0.013105339559442652,1
PozoS1,10087.8,22.8481,1.8734,0.2422,0.2112,0.2585,2.2774,13.0354,116.2322,0.1136,0.2816,0.0713,0.1317,608.351,0.11268100089478594,1
PozoS1,10089.3,49.226,2.1039,0.2478,0.1827,0.2838,2.3006,11.9165,152.4329,0.1586,0.1863,0.393,0.2899,404.224,0.04396148558289387,1
PozoS1,10091.3,37.2869,1.9672,0.2223,0.1555,0.2664,2.3561,12.9316,158.0239,0.2168,0.2168,0.2474,0.3555,120.219,0.07842260615848956,1
PozoS1,10092.3,28.7344,1.9749,0.2109,0.1912,0.2255,2.326,15.7178,145.4527,0.1438,0.2723,0.1431,0.1173,280.236,0.12384779244416927,1
PozoS1,10093.3,28.1968,1.9796,0.2178,0.1999,0.2298,2.3105,15.2728,172.899,0.1299,0.2483,0.1365,0.0969,532.725,0.13027881237665073,1
PozoS1,10093.8,28.944,1.9434,0.2184,0.1807,0.2438,2.3318,14.2863,221.435,0.1622,0.1716,0.1457,0.205,24.813,0.1179387363766164,1
PozoS1,10094.8,33.3309,2.368,0.2175,0.1862,0.2389,2.3263,14.624,152.0434,0.1524,0.2377,0.1992,0.172,975.121,0.08358352638476174,1
PozoS1,10098.3,35.2653,2.0044,0.2097,0.1807,0.2311,2.3393,15.2739,135.9236,0.1622,0.2613,0.2227,0.1723,326.07,0.11984848987914504,1
PozoS1,10101.8,24.9358,1.9411,0.2209,0.2186,0.2218,2.2872,15.8096,267.5321,0.1039,0.2277,0.0968,0.0078,529.356,0.12694998731110246,1
PozoS1,10103.8,18.1784,1.9535,0.2308,0.2127,0.2409,2.2858,14.2371,521.1394,0.1116,0.1239,0.0144,0.0813,936.238,0.12288706783310416,1
PozoS1,10105.3,35.8681,2.0549,0.2501,0.222,0.2635,2.2593,12.597,182.8147,0.0996,0.2158,0.2301,0.1077,358.164,0.0963311027179945,1
PozoS1,10107.3,20.8619,1.8953,0.2424,0.2307,0.2469,2.2573,13.5568,237.5308,0.0893,0.2139,0.0471,0.036,687.081,0.12324175152397954,1
PozoS1,10111.3,20.4396,1.9202,0.2305,0.2216,0.2346,2.2766,14.6259,299.5897,0.1001,0.196,0.0419,0.0335,1254.423,0.13424172418887487,1
PozoS1,10114.8,19.5206,1.9051,0.2005,0.1857,0.2135,2.3405,16.9206,321.1853,0.1532,0.1727,0.0307,0.1045,595.562,0.0940878087112823,1
PozoS1,10115.8,16.62,2.0219,0.1917,0.1958,0.1857,2.3239,19.648,626.7565,0.1364,0.1663,0.0,0.0,594.658,0.0457909883440325,1
PozoS1,10116.3,18.4063,2.0274,0.1922,0.1962,0.189,2.3276,19.5663,660.9713,0.1356,0.1614,0.0172,0.0,780.44,0.049999978461016226,1
PozoS1,10117.3,16.9866,1.9541,0.1927,0.1966,0.1827,2.3155,19.4915,664.4341,0.135,0.1607,0.0,0.0,743.033,0.04213971077953382,1
PozoS1,10119.3,22.6508,1.9313,0.2004,0.203,0.1873,2.2977,18.3889,347.3087,0.1252,0.2182,0.0689,0.0,2262.5659,0.08942023081651312,1
PozoS1,10120.3,28.8087,1.8694,0.2078,0.2092,0.1952,2.2864,17.4198,247.805,0.1165,0.2527,0.144,0.0,11989.001,0.021715115167108945,1
PozoS1,10122.3,54.7474,2.0373,0.1961,0.1716,0.2174,2.3615,16.5206,79.3934,0.1802,0.3864,0.4603,0.1713,2.47,0.07775472278118062,1
PozoS1,10126.3,27.4075,1.9732,0.2133,0.1432,0.2627,2.3796,13.1131,186.8993,0.2504,0.2504,0.1269,0.3977,895.087,0.062112593702114416,1
PozoS1,10128.3,14.8018,1.8338,0.2424,0.238,0.2227,2.2175,13.7743,370.4964,0.0812,0.1816,0.0,0.0,3783.9939,0.08602334525471544,1
PozoS1,10130.8,18.1005,1.9374,0.2321,0.2294,0.2253,2.2558,14.7249,598.0898,0.0908,0.1467,0.0134,0.0,3752.1221,0.12063148637892185,1
PozoS1,10131.8,19.5805,2.0644,0.2237,0.2224,0.2104,2.2589,15.5772,686.6217,0.0991,0.1406,0.0315,0.0,5717.1221,0.09147177184208921,1
PozoS1,10134.3,30.6721,1.9967,0.2392,0.2353,0.2248,2.2316,14.0618,230.5461,0.0841,0.2348,0.1667,0.0,12048.4063,0.011361234645217932,1
PozoS1,10135.3,46.8838,1.9804,0.209,0.1887,0.2244,2.3305,15.8319,273.7438,0.1481,0.1793,0.3644,0.1239,3775.563,0.08863583631538019,1
PozoS1,10136.8,45.1059,2.0135,0.227,0.2252,0.2239,2.2703,15.2342,253.1898,0.0958,0.2331,0.3428,0.0,1486.962,0.09852281577399136,1
